artist,total_views,100m,avg
Remmy Valenzuela,1862400000,6.0,0.44
Ceca,1861600000,Não informado,0.35
MC Kevin,1853600000,4.0,0.62
OMI,1853500000,3.0,0.28
Florida Georgia Line,1852100000,5.0,0.21
Canserbero,1851400000,4.0,1.0
Hozier,1840000000,2.0,0.55
Lil Tjay,1835700000,3.0,0.72
Ricardo Montaner,1829600000,3.0,0.46
Radiohead,1828100000,2.0,0.79
Cristiano Araújo,1826900000,6.0,0.21
Galantis,1825800000,4.0,0.17
Niska,1825000000,4.0,0.43
Paula Fernandes,1822800000,3.0,0.44
Jason Aldean,1819900000,3.0,0.47
Palak Muchhal,1811400000,3.0,0.47
Chris Jeday,1803900000,3.0,0.69
Roxette,1801600000,3.0,0.52
Black M,1798100000,6.0,0.15
(G)I-DLE,1797700000,7.0,1.66
IU,1792600000,6.0,0.39
Arash,1790600000,4.0,0.57
Via Vallen,1787500000,3.0,0.08
Hailee Steinfeld,1782200000,6.0,0.26
Three Days Grace,1780400000,4.0,0.42
Soulja Boy Tell'em,1780100000,2.0,0.2
PNL,1775600000,6.0,0.34
Alok,1773200000,2.0,0.64
Maria Becerra,1766200000,6.0,2.35
The Game,1764700000,5.0,0.38
Abraham Mateo,1760900000,3.0,0.41
Bryson Tiller,1760700000,4.0,0.46
Blake Shelton,1760600000,3.0,0.33
AronChupa,1758000000,3.0,0.23
Eros Ramazzotti,1757600000,4.0,0.63
James Blunt,1757100000,2.0,0.43
Naughty Boy,1751200000,2.0,0.21
Marcos & Belutti,1745300000,4.0,0.26
SHINee,1735600000,2.0,0.27
R.E.M.,1734900000,2.0,0.57
2 Chainz,1728700000,5.0,0.28
Vremya i Steklo,1721800000,5.0,0.14
Lata Mangeshkar,1720700000,6.0,0.45
İrem Derici,1717300000,3.0,0.32
Scorpions,1715300000,2.0,0.44
Raymix,1712500000,3.0,0.38
ONE OK ROCK,1711700000,3.0,0.38
Zouhair Bahaoui,1705700000,3.0,0.49
Raí Saia Rodada,1702900000,4.0,0.48
Rick Astley,1697500000,2.0,0.5
My Chemical Romance,1689800000,7.0,0.51
Rick Ross,1687200000,3.0,0.34
B.o.B,1687100000,2.0,0.3
Korn,1686000000,3.0,0.49
Lil Skies,1683500000,4.0,0.18
El Komander,1679200000,3.0,0.26
Naps,1671700000,5.0,0.47
Nella Kharisma,1671300000,5.0,0.14
Shaggy,1663300000,6.0,0.42
Noriel,1661300000,3.0,0.4
Bruce Springsteen,1653900000,3.0,0.63
"Earth, Wind & Fire",1649200000,3.0,0.56
Foster The People,1645900000,3.0,0.37
3 Doors Down,1641700000,3.0,0.4
Boney M.,1637700000,3.0,1.04
Getsunova,1633900000,5.0,0.18
Mary J. Blige,1630100000,4.0,0.66
Joyner Lucas,1620700000,1.0,0.36
2CELLOS,1619400000,1.0,0.33
Destiny's Child,1617900000,7.0,0.43
Last Child,1615900000,4.0,0.71
Lauv,1610500000,4.0,0.37
Robbie Williams,1605300000,4.0,0.28
Jonas Brothers,1597600000,3.0,0.2
Lauana Prado,1595800000,3.0,0.61
Toni Braxton,1595000000,3.0,0.58
Sofia Reyes,1590300000,3.0,0.51
Wham!,1580500000,2.0,0.31
Jeremih,1580000000,6.0,0.29
J Alvarez,1579400000,2.0,0.39
Ella Mai,1579300000,4.0,0.44
Burna Boy,1578500000,3.0,1.59
Marilyn Manson,1576300000,3.0,0.36
Audioslave,1576100000,3.0,0.49
Afrojack,1572900000,3.0,0.1
Lê Bảo Bình,1572000000,4.0,0.38
Manuel Medrano,1566900000,3.0,0.4
The Notorious B.I.G.,1560100000,4.0,0.79
Israel Kamakawiwo'ole,1558200000,2.0,0.3
T-Pain,1552800000,5.0,0.43
The Police,1549700000,3.0,0.57
JD Pantoja,1548700000,4.0,0.32
MC WM,1542200000,5.0,0.09
Fun.,1542200000,3.0,0.28
Demet Akalın,1541500000,2.0,0.17
Wolfine,1534000000,2.0,0.27
Israel & Rodolffo,1527800000,1.0,1.65
Andy Rivera,1527000000,3.0,0.58
MHD,1525000000,5.0,0.24
Mỹ Tâm,1521700000,2.0,0.27
Die Antwoord,1519300000,5.0,0.21
Reynmen,1516000000,3.0,0.25
Elvis Presley,1513600000,1.0,0.78
Kehlani,1512900000,2.0,0.32
Santana,1490900000,3.0,0.57
Ty Dolla $ign,1487900000,1.0,0.23
No Doubt,1486700000,2.0,0.39
Renuka Panwar,1483500000,1.0,0.31
4 Non Blondes,1479900000,1.0,0.56
Alexandra Stan,1476000000,5.0,0.24
Kany García,1474900000,4.0,0.92
Kid Rock,1467800000,2.0,0.46
Carrie Underwood,1460800000,1.0,0.23
Toto,1456700000,3.0,0.65
Mannat Noor,1452800000,1.0,0.22
Rombai,1443900000,4.0,0.2
Tom Odell,1443300000,2.0,1.09
Fernandinho,1437400000,2.0,0.82
4Minute,1428600000,4.0,0.13
Abel Pintos,1428100000,1.0,0.35
SISTAR,1425700000,4.0,0.16
Buray,1423800000,7.0,0.35
Thiaguinho,1423400000,2.0,0.62
R3HAB,1422500000,2.0,0.22
Grupo Revelação,1420600000,2.0,0.54
Mano Walter,1420100000,3.0,0.14
Europe,1417600000,2.0,0.37
Yo Gotti,1414700000,4.0,0.24
Bé Bảo An,1411300000,4.0,0.38
Tainy,1410000000,3.0,0.4
Alessia Cara,1409400000,4.0,0.21
Troye Sivan,1409000000,2.0,0.2
Jenni Rivera,1408300000,2.0,0.02
Willy William,1406900000,2.0,0.32
Kids United,1406800000,3.0,0.31
Carla's Dreams,1400800000,Não informado,0.36
Dwayne Johnson,1400600000,1.0,1.17
L.กฮ.,1397400000,5.0,0.45
C. Tangana,1396900000,3.0,0.36
Sunidhi Chauhan,1394400000,3.0,0.22
Ñengo Flow,1388800000,4.0,0.82
Radwimps,1386700000,3.0,0.48
Damas Gratis,1384500000,4.0,0.76
G.E.M.,1381600000,4.0,0.23
Milky Chance,1380100000,3.0,0.41
The Kid LAROI,1379900000,2.0,0.78
Banda Carnaval,1379800000,1.0,0.25
Hande Yener,1378600000,3.0,0.18
Aqua,1377200000,1.0,0.54
Kong Huayrai,1375900000,4.0,0.43
Sherine,1375500000,5.0,0.58
Hadise,1374100000,5.0,0.23
Owl City,1373300000,2.0,0.22
MC G15,1372300000,5.0,0.08
Kings Of Leon,1367300000,2.0,0.3
J-Ax,1365400000,2.0,0.12
Pang Nakarin,1365000000,4.0,0.17
Akcent (Romania),1362600000,1.0,0.22
Rudimental,1361900000,3.0,0.18
OutKast,1361400000,3.0,0.38
Gigi D'Agostino,1360500000,3.0,0.38
Melim,1359100000,2.0,0.4
Preto no Branco,1355400000,2.0,0.33
Marwa Loud,1353600000,5.0,0.47
Ryan Castro,1352700000,5.0,1.4
Fernando & Sorocaba,1342200000,1.0,0.14
Flume,1338900000,3.0,0.23
Bonnie Tyler,1336000000,3.0,0.47
Natiruts,1331500000,3.0,0.55
Auli'i Cravalho,1329300000,2.0,0.62
MC Lan,1328900000,2.0,0.05
Alejandra Guzmán,1328400000,3.0,0.23
Ylvis,1325500000,1.0,0.14
Armaan Malik,1322700000,3.0,0.35
YFN Lucci,1320200000,2.0,0.31
Sexion D'Assaut,1317400000,2.0,0.16
Rvssian,1315200000,3.0,0.29
Pedro Sampaio,1310900000,4.0,0.57
Sila,1304600000,2.0,0.25
Taio Cruz,1300900000,5.0,0.16
The Lumineers,1299500000,4.0,0.3
Vitor Fernandes,1299400000,3.0,0.53
Gülşen,1296500000,4.0,0.26
